method;model;directory;conf;iou;imsize;max_det;file;pix_x;pix_y;nb_det;area_tot;w_mean;h_mean
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0012.JPG;8688;5792;77;4668730;304.5194805194805;197.62337662337663
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0013.JPG;8688;5792;101;14635503;535.5544554455446;266.8712871287129
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0014.JPG;8688;5792;127;10956665;389.1732283464567;220.14173228346456
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0015.JPG;8688;5792;110;20151633;542.6363636363636;331.1818181818182
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0016.JPG;8688;5792;69;14104778;556.6376811594203;345.8985507246377
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0017.JPG;8688;5792;54;5146270;389.44444444444446;240.6851851851852
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0018.JPG;8688;5792;165;15867115;413.57575757575756;230.38181818181818
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0019.JPG;8688;5792;227;30514199;486.04405286343615;274.3480176211454
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0020.JPG;8688;5792;186;25256249;480.06451612903226;280.3494623655914
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0021.JPG;8688;5792;162;18975099;442.6111111111111;262.60493827160496
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0022.JPG;8688;5792;228;20427604;382.06140350877195;233.24561403508773
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0023.JPG;8688;5792;63;5835702;381.3015873015873;240.96825396825398
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0024.JPG;8688;5792;171;19034234;418.99415204678365;247.859649122807
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0025.JPG;8688;5792;95;7835858;356.7368421052632;220.93684210526317
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0026.JPG;8688;5792;145;18675653;468.92413793103447;272.51724137931035
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0027.JPG;8688;5792;86;6863385;355.0581395348837;223.77906976744185
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0028.JPG;8688;5792;120;7685869;323.1666666666667;197.40833333333333
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0029.JPG;8688;5792;75;4448525;297.38666666666666;199.53333333333333
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0030.JPG;8688;5792;24;1802913;341.4166666666667;220.08333333333334
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0031.JPG;8688;5792;168;12276802;349.64285714285717;208.17857142857142
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0032.JPG;8688;5792;150;10030301;336.32666666666665;198.16666666666666
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0033.JPG;8688;5792;93;14687075;533.1505376344086;294.5376344086022
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0034.JPG;8688;5792;101;18791625;540.6831683168317;333.7227722772277
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0035.JPG;8688;5792;262;34099601;457.96564885496184;283.0534351145038
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lycaenidae_drawer_0001.JPG;8688;5792;113;15281656;435.91150442477874;300.0619469026549
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lycaenidae_drawer_0002.JPG;8688;5792;116;23709908;537.0086206896551;372.7586206896552
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lycaenidae_drawer_0003.JPG;8688;5792;20;2381893;422.5;279.75
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lycaenidae_drawer_0004.JPG;8688;5792;255;21778582;362.27450980392155;233.60392156862744
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lycaenidae_drawer_0005.JPG;8688;5792;151;18071210;419.92715231788077;280.07284768211923
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lycaenidae_drawer_0007.JPG;8688;5792;82;6687219;353.4756097560976;223.8780487804878
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lycaenidae_drawer_0008.JPG;8688;5792;131;22006909;529.2671755725191;316.1526717557252
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lycaenidae_drawer_0009.JPG;8688;5792;117;20738141;548.991452991453;321.6068376068376
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lycaenidae_drawer_0010.JPG;8688;5792;113;21183861;550.7699115044247;338.16814159292034
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lycaenidae_drawer_0011.JPG;8688;5792;126;23648041;562.6825396825396;332.8333333333333
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lycaenidae_drawer_0012.JPG;8688;5792;134;21416782;521.4179104477612;304.74626865671644
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lycaenidae_drawer_0013.JPG;8688;5792;15;2710048;541.2666666666667;332.26666666666665
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lycaenidae_drawer_0014.JPG;8688;5792;241;17880533;357.90871369294604;206.36514522821577
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lycaenidae_drawer_0015.JPG;8688;5792;36;2580009;342.6388888888889;208.5
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lycaenidae_drawer_0016.JPG;8688;5792;173;18340870;408.2485549132948;257.7514450867052
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lycaenidae_drawer_0017.JPG;8688;5792;245;26817190;419.2448979591837;259.68163265306123
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lycaenidae_drawer_0018.JPG;8688;5792;186;19992234;417.26881720430106;255.56989247311827
